type,price,size,order_value,portfolio_value,commission,pnl
buy,3.18,31227,99301.86,90972.89884000001,595.81116,0.0
buy,2.91,34,98.94,90972.3052,0.5936400000000001,0.0
buy,2.64,1,2.64,82531.81936000001,0.01584,0.0
sell,2.73,-31262,99403.44,84833.32780000001,512.07156,-14058.18
buy,2.68,31434,84243.12000000001,84327.86908000002,505.4587200000001,0.0
buy,2.55,33,84.14999999999999,77094.24418000001,0.5049,0.0
sell,2.6800000000000006,-31467,84327.27,83825.66481999999,505.98936000000003,4.289999999994241
buy,3.64,22868,83239.52,84240.94769999999,499.43712,0.0
buy,3.4500000000000006,24,82.80000000000001,78980.8109,0.4968000000000001,0.0
buy,2.64,1,2.64,66619.38505999999,0.01584,0.0
sell,2.91,-22893,83324.96,66219.67327999999,399.71178000000003,-16706.33000000001
buy,2.77,23739,65757.03,64875.571099999994,394.54218,0.0
buy,2.73,24,65.52,67013.84797999998,0.39312,0.0
sell,2.8199999999999994,-23763,65822.55,66611.77802,402.06996,1189.1099999999972
buy,3.18,20801,66147.18000000001,55814.394939999984,396.88308,0.0
buy,2.68,25,67.0,51024.012939999986,0.402,0.0
sell,2.55,-20826,66214.18000000001,52787.97513999998,318.63779999999997,-13107.880000000016
buy,2.55,20557,52420.35,56173.71303999998,314.52209999999997,0.0
sell,2.73,-20557,52420.35,55836.98937999998,336.72366,3700.2600000000034
buy,2.64,21003,55447.920000000006,59284.84185999997,332.68752,0.0
sell,2.82,-21003,55447.920000000006,58929.47109999997,355.37075999999996,3780.539999999994
buy,2.73,21435,58517.55,58578.36579999997,351.10530000000006,0.0
sell,3.3599999999999994,-21435,58517.55,71650.28619999997,432.12960000000004,13504.049999999997
buy,3.7700000000000005,18873,71151.21,71223.37893999997,426.90726,0.0
buy,3.68,19,69.92,69524.38941999996,0.41952000000000006,0.0
sell,2.91,-18892,71221.13,54647.69509999997,329.85432000000003,-16245.410000000002
buy,2.91,18648,54265.68,57678.741019999965,325.59408,0.0
sell,3.09,-18648,54265.68,57333.00709999996,345.73392,3356.639999999995
buy,3.0,18978,56934.0,56991.40309999996,341.60400000000004,0.0
sell,3.09,-18978,56934.0,58347.57097999995,351.85212,1708.0199999999973
buy,3.0,19313,57939.0,57999.936979999955,347.634,0.0
buy,2.95,20,59.0,57033.93297999996,0.354,0.0
sell,3.27,-19333,57998.0,62841.17951999996,379.31346,5220.9100000000035
buy,3.0,20801,62403.0,62466.761519999964,374.418,0.0
buy,2.95,21,61.95,62467.43981999996,0.37170000000000003,0.0
sell,2.91,-20822,62464.95,60229.90769999997,363.55212,-1872.929999999993
buy,2.59,23093,59810.869999999995,61025.692479999976,358.86521999999997,0.0
sell,2.82,-23093,59810.869999999995,64791.698919999966,390.73355999999995,5311.389999999999
buy,2.73,23568,64340.64,77132.37507999997,386.04384000000005,0.0
sell,3.27,-23568,64340.64,76669.97091999996,462.40416000000005,12726.720000000001
buy,3.09,24639,76134.51,76213.16385999996,456.80706,0.0
buy,2.95,26,76.7,73996.49365999996,0.46020000000000005,0.0
sell,2.73,-24665,76211.20999999999,66932.93095999995,404.0127,-8875.759999999997
buy,2.73,24346,66464.58,77489.84347999995,398.78747999999996,0.0
sell,3.18,-24346,66464.58,77025.32179999995,464.52168,10955.700000000004
buy,3.0,25496,76488.0,81155.67379999995,458.928,0.0
sell,3.18,-25496,76488.0,80669.21011999995,486.46368,4589.280000000004
buy,3.55,22565,80105.75,75901.22561999994,480.6345,0.0
buy,3.36,24,80.64,75900.74177999992,0.48384000000000005,0.0
sell,3.45,-22589,80186.39,77466.15947999994,467.5923,-2254.3399999999915
buy,2.82,27279,76926.78,93099.20879999996,461.56068,0.0
sell,3.41,-27279,76926.78,92541.08045999997,558.1283400000001,16094.610000000008
buy,3.18,28898,91895.64,94590.52661999998,551.3738400000001,0.0
sell,3.27,-28898,91895.64,94023.54785999996,566.97876,2600.819999999996
buy,3.18,29361,93367.98000000001,100216.36997999996,560.20788,0.0
sell,3.41,-29361,93367.98000000001,99615.64391999996,600.72606,6753.03
buy,3.7300000000000004,26520,98919.6,99022.12631999995,593.5176,0.0
buy,3.64,27,98.28,94245.50663999995,0.5896800000000001,0.0
buy,3.55,1,3.55,84422.72533999995,0.0213,0.0
sell,3.45,-26548,99021.43000000001,91041.14173999995,549.5436000000001,-7430.830000000006
buy,3.5499999999999994,25466,90404.29999999999,87952.11593999997,542.4258,0.0
buy,3.45,27,93.15,97383.96703999996,0.5589000000000001,0.0
sell,3.82,-25493,90497.44999999998,96799.66747999996,584.2995599999999,6885.810000000012
buy,3.55,27077,96123.34999999999,105970.64737999998,576.7401,0.0
sell,3.91,-27077,96123.34999999999,105335.42095999997,635.2264200000001,9747.720000000008
buy,3.64,28736,104599.04000000001,102121.58671999995,627.59424,0.0
buy,3.55,30,106.5,104709.88771999997,0.6389999999999999,0.0
sell,3.82,-28766,104705.54000000001,109228.45099999996,659.31672,5180.5799999999845
buy,3.55,30554,108466.7,108577.65079999996,650.8002,0.0
sell,3.82,-30554,108466.7,116126.93311999996,700.29768,8249.58
buy,3.6400000000000006,31681,115318.84000000001,112583.73007999994,691.91304,0.0
buy,3.55,32,113.6,125268.24847999995,0.6816,0.0
sell,3.95,-31713,115432.44000000002,124516.65037999995,751.5981,9833.909999999987
buy,3.95,31303,123646.85,122522.64927999995,741.8811000000001,0.0
buy,3.55,35,124.25,114073.24377999995,0.7454999999999999,0.0
sell,3.64,-31338,123771.1,113388.82185999995,684.42192,-9700.779999999995
buy,3.36,33511,112596.95999999999,112713.24009999995,675.58176,0.0
sell,3.64,-33511,112596.95999999999,121364.43985999997,731.8802400000001,9383.080000000009
buy,5.55,21715,120518.25,118469.83035999996,723.1094999999999,0.0
sell,5.45,-21715,120518.25,117759.74985999998,710.0805,-2171.4999999999923
buy,5.18,22575,116938.5,115026.36885999999,701.6309999999999,0.0
buy,5.09,23,117.07,115025.66643999997,0.70242,0.0
sell,5.82,-22598,117055.57000000002,130733.08428000001,789.12216,14464.78999999999
buy,4.55,28532,129820.59999999999,135089.92068000004,778.9236,0.0
sell,4.73,-28532,129820.59999999999,134280.18252000003,809.7381600000001,5135.7600000000175
buy,5.0,26669,133345.0,133480.11252000002,800.07,0.0
sell,5.269999999999999,-26669,133345.0,139837.46874,843.27378,7200.629999999988
buy,4.55,30519,138861.44999999998,111232.01004000002,833.1687,0.0
buy,3.6399999999999997,38,138.32,105425.35012000003,0.8299200000000001,0.0
buy,3.45,1,3.45,155540.44942000002,0.020700000000000003,0.0
sell,5.09,-30558,139003.22,154607.20810000002,933.2413200000001,16537.000000000004
buy,3.09,49686,153529.74,153686.02966000003,921.1784399999999,0.0
buy,3.09,50,154.5,153685.10266,0.9269999999999999,0.0
sell,3.64,-49736,153684.24,179953.66842000003,1086.23424,27354.800000000014
buy,3.18,56195,178700.1,199673.61782,1072.2006000000001,0.0
sell,3.55,-56195,178700.1,198476.66432,1196.9535,20792.14999999998
buy,3.5,56313,197095.5,148864.91132,1182.5729999999999,0.0
buy,2.64,74,195.36,179312.71916,1.17216,0.0
sell,3.18,-56387,197290.86,178236.85520000002,1075.8639600000001,-17980.19999999997
buy,3.05,58031,176994.55,177174.88790000003,1061.9673,0.0
sell,3.41,-58031,176994.55,196878.73364000005,1187.31426,20891.160000000018
buy,2.68,72951,195508.68000000002,202271.27156000002,1173.0520800000002,0.0
sell,2.77,-72951,195508.68000000002,201058.82594000004,1212.44562,6565.589999999989
buy,2.82,70801,199658.81999999998,225349.23302000007,1197.95292,0.0
sell,3.18,-70801,199658.81999999998,223998.34994000004,1350.88308,25488.360000000022
buy,2.0,111219,222438.0,232673.43194000004,1334.628,0.0
buy,2.09,107,223.63,222652.75016000005,1.34178,0.0
sell,1.8399999999999999,-111326,222661.63000000003,203611.55112000008,1229.03904,-17821.79000000001
buy,1.49,135701,202194.49,278390.94418000005,1213.16694,0.0
sell,2.05,-135701,202194.49,276721.82188000006,1669.1223,75992.55999999998
buy,2.0,137398,274796.0,312170.50588000007,1648.776,0.0
sell,2.27,-137398,274796.0,310299.14512000006,1871.36076,37097.46
buy,2.27,135744,308138.88,400756.2318400001,1848.83328,0.0
sell,2.95,-135744,308138.88,398353.5630400001,2402.6688000000004,92305.92000000003
buy,2.91,135938,395579.58,395980.0855600001,2373.47748,0.0
buy,2.36,168,396.47999999999996,328017.10668000014,2.37888,0.0
sell,2.55,-136106,395976.06,344989.52488,2082.4217999999996,-48905.76000000005
buy,2.73,125490,342587.7,285208.5986799999,2055.5262000000002,0.0
buy,2.27,151,342.77,285206.54205999995,2.05662,0.0
sell,2.95,-125641,342930.47000000003,368418.57635999995,2223.8457000000003,27710.47999999998
buy,2.36,155023,365854.27999999997,366223.45067999995,2195.12568,0.0
sell,2.36,-155023,365854.27999999997,364028.32499999995,2195.12568,0.0
buy,2.36,153176,361495.36,418534.47283999994,2168.97216,0.0
sell,2.73,-153176,361495.36,416025.44995999994,2509.02288,56675.12000000002
buy,2.73,151330,413130.9,427166.3645599999,2478.7854,0.0
buy,2.64,156,411.84000000000003,413558.2335199999,2.4710400000000003,0.0
sell,2.73,-151486,413542.74000000005,411076.8928399999,2481.3406800000002,14.039999999956569
buy,2.68,152319,408214.92000000004,394918.89331999986,2449.2895200000003,0.0
buy,2.59,158,409.21999999999997,416263.21799999994,2.45532,0.0
sell,2.73,-152477,408624.1400000001,413765.64473999996,2497.57326,7638.069999999953
buy,2.64,155639,410886.96,411300.32297999994,2465.3217600000003,0.0
buy,2.59,158,409.21999999999997,403515.9176599999,2.45532,0.0
sell,2.75,-155797,411296.17999999993,425872.78715999995,2570.6505,17145.570000000036
buy,2.7,156633,422909.10000000003,407672.0325599999,2537.4546,0.0
buy,2.6,162,421.2,407669.5053599999,2.5272,0.0
buy,2.3,1,2.3,376310.59155999986,0.0138,0.0
sell,2.4,-156796,423332.6,374052.7291599999,2257.8624,-47022.20000000002
buy,2.36,157394,371449.83999999997,393859.1901199999,2228.69904,0.0
sell,2.5,-157394,371449.83999999997,391498.28011999995,2360.91,22035.160000000018
buy,2.5,155509,388772.5,382945.28511999996,2332.6349999999998,0.0
buy,2.46,158,388.68,382942.95303999993,2.33208,0.0
sell,2.46,-155667,389161.18,380645.30811999994,2297.64492,-6220.360000000014
buy,2.4,157498,377995.2,378377.3369199999,2267.9712,0.0
buy,2.4,158,379.2,378375.0617199999,2.2752,0.0
sell,3.3499999999999996,-157656,378374.4000000001,524979.37612,3168.8856,149773.19999999995
buy,2.55,204441,521324.55,521851.42882000003,3127.9473,0.0
sell,2.8,-204441,521324.55,569527.07002,3434.6087999999995,51110.25
buy,2.6,217524,565562.4,555257.49562,3393.3744,0.0
buy,2.5499999999999994,222,566.0999999999999,555254.0990199998,3.3966,0.0
sell,2.75,-217746,566128.5,595210.4900199999,3592.809,32673.000000000007
buy,2.8099999999999996,210345,591069.45,627422.72332,3546.4166999999998,0.0
sell,2.98,-210345,591069.45,623661.75472,3760.9685999999997,35758.64999999999
buy,2.94,210654,619322.76,579921.55816,3715.9365599999996,0.0
buy,2.75,224,616.0,531415.92216,3.696,0.0
buy,2.52,1,2.52,590462.02704,0.01512,0.0
sell,2.8,-210879,619941.28,586919.25984,3542.7672000000002,-29480.080000000075
buy,2.8999999999999995,200977,582833.2999999999,583422.26004,3496.9998,0.0
buy,2.75,212,583.0,593510.0120400001,3.498,0.0
sell,2.95,-201189,583416.2999999999,589948.9667400001,3561.0453,10091.250000000102
buy,3.1000000000000005,188982,585844.2000000001,605332.1015400001,3515.0652000000005,0.0
sell,3.2,-188982,585844.2000000001,601703.6471400001,3628.4544000000005,18898.200000000015
buy,3.09,193371,597516.39,590383.7088,3585.09834,0.0
buy,3.05,196,597.8,532310.0220000001,3.5867999999999998,0.0
sell,2.87,-193567,598114.1900000001,552204.8382600001,3333.2237400000004,-42576.90000000008
buy,2.85,192408,548362.8,558535.06146,3290.1768,0.0
buy,2.8,195,546.0,568181.4354600001,3.276,0.0
sell,2.9499999999999997,-192603,548908.8,564772.36236,3409.0731,19270.04999999998
buy,2.8,200301,560842.7999999999,601467.5055600001,3365.0568,0.0
sell,3.0,-200301,560842.7999999999,597862.0875600001,3605.418,40060.20000000003
buy,3.81,155827,593700.87,600532.9623400002,3562.20522,0.0
buy,3.6,165,594.0,547533.36834,3.564,0.0
sell,3.5,-155992,594294.87,542697.6163400001,3275.832,-48322.87000000001
buy,3.5,153977,538919.5,524066.39934000006,3233.517,0.0
buy,3.4000000000000004,159,540.6,525604.5157400001,3.2436000000000003,0.0
sell,3.5,-154136,539460.1,536239.89974,3236.856,15.900000000023741
buy,3.2,166409,532508.8,499763.04694,3195.0528000000004,0.0
buy,3.0,177,531.0,516418.46094,3.186,0.0
sell,3.1,-166586,533039.8,513319.96134000004,3098.4996,-16623.20000000003
buy,3.0,169916,509748.0,486473.23334000004,3058.488,0.0
buy,2.86,178,509.08,484769.23886000004,3.05448,0.0
sell,3.0,-170094,510257.08,507221.64686000004,3061.692,24.919999999962627
buy,2.95,170743,503691.85000000003,505906.92575999995,3022.1511000000005,0.0
sell,3.1,-170743,503691.85000000003,526635.12596,3175.8198,25611.449999999986
buy,3.1,168700,522970.0,515062.3059599999,3137.82,0.0
buy,3.05,171,521.55,591051.12666,3.1292999999999997,0.0
sell,3.5,-168871,523491.55,587504.83566,3546.291,67556.95
buy,3.12,186992,583415.04,584004.34542,3500.49024,0.0
sell,3.3999999999999995,-186992,583415.04,632547.46862,3814.6367999999998,52357.759999999966
buy,3.1000000000000005,202627,628143.7000000001,634857.41642,3768.8622,0.0
buy,3.1799999999999997,198,629.64,669323.98858,3.77784,0.0
sell,3.3,-202825,628773.3400000001,665308.05358,4015.935,40549.1599999999
buy,5.11,129291,660677.01,672980.18152,3964.06206,0.0
sell,5.2,-129291,660677.01,668946.3023199999,4033.8792,11636.189999999982
buy,5.0,132858,664290.0,664960.5623199999,3985.7400000000002,0.0
buy,4.86,137,665.82,643696.5473999998,3.9949200000000005,0.0
sell,4.5,-132995,664955.82,594887.3823999999,3590.8650000000002,-66478.31999999992
buy,4.37,135182,590745.34,625138.4103599999,3544.47204,0.0
sell,4.62,-135182,590745.34,621391.1653199999,3747.24504,33795.5
buy,4.4,140242,617064.8,666773.4765199999,3702.3888,0.0
sell,4.75,-140242,617064.8,662776.5795199999,3996.897,49084.69999999995
buy,4.6,143079,658163.3999999999,673135.49912,3948.9804,0.0
buy,4.6,143,657.8,660255.8723200001,3.9467999999999996,0.0
sell,5.0,-143222,658821.2,711815.79232,4296.66,57288.800000000054
buy,5.0,141372,706860.0,707574.63232,4241.16,0.0
buy,5.0,141,705.0,707570.40232,4.2299999999999995,0.0
buy,4.7,1,4.7,693419.2741200001,0.028200000000000003,0.0
sell,4.9,-141514,707569.7,689258.7625200001,4160.511600000001,-14151.099999999878
buy,4.95,138275,684461.25,685151.9950200001,4106.7675,0.0
buy,4.4,155,682.0,622939.6530200001,4.0920000000000005,0.0
sell,4.5,-138430,685143.25,619202.0430200001,3737.61,-62208.25000000003
buy,4.01,153340,614893.4,617046.08262,3689.3603999999996,0.0
buy,3.3,186,613.8,637134.6998200001,3.6828000000000003,0.0
sell,4.15,-153526,615507.2000000001,633311.90242,3822.7974000000004,21625.699999999993
buy,4.35,144576,628905.6,636767.2688200001,3773.4336,0.0
sell,4.85,-144576,628905.6,697619.3072200001,4207.161599999999,72288.0
buy,4.8,144326,692764.7999999999,693462.71842,4156.5887999999995,0.0
sell,4.95,-144326,692764.7999999999,710825.1362200001,4286.4822,21648.900000000052
buy,4.8,147058,705878.4,699236.96582,4235.2704,0.0
sell,5.1,-147058,705878.4,746207.2910200001,4499.9748,44117.39999999997
buy,4.14,178989,741014.46,748920.7642600001,4446.086759999999,0.0
sell,4.28,-178989,741014.46,762223.2267400002,4596.43752,25058.4600000001
buy,4.16,181951,756916.16,726750.0597800001,4541.49696,0.0
buy,3.99,190,758.1,746781.0211800002,4.5486,0.0
sell,4.27,-182141,757674.26,773078.5387600001,4666.45242,20067.809999999958
buy,4.13,185883,767696.79,772190.0180200002,4606.18074,0.0
buy,4.04,190,767.6,753599.0124200002,4.605600000000001,0.0
sell,4.0,-186073,768464.39,739829.6104200002,4465.752,-24172.390000000043
buy,3.8299999999999996,191823,734682.09,731585.0578800002,4408.092540000001,0.0
sell,3.98,-191823,734682.09,759614.2346400002,4580.7332400000005,28773.449999999983
buy,3.87,194917,754328.79,751189.9219000002,4525.97274,0.0
buy,3.7,203,751.1,741459.8653000001,4.5066,0.0
sell,3.8,-195120,755079.89,737011.1293,4448.736,-13623.890000000063
buy,3.8,192600,731880.0,732619.8493,4391.280000000001,0.0
sell,4.2,-192600,731880.0,804806.3293000001,4853.52,77040.00000000007
buy,4.33,184574,799205.42,801856.83678,4795.23252,0.0
buy,4.35,183,796.05,807392.94048,4.7763,0.0
sell,4.66,-184757,800001.4700000001,855806.6647600001,5165.805719999999,60966.149999999914
buy,10.88,78111,849847.68,899136.39868,5099.08608,0.0
sell,11.5,-78111,849847.68,893746.73968,5389.659,48428.81999999994
buy,12.36,71806,887522.1599999999,889857.7267200002,5325.13296,0.0
buy,11.92,74,882.08,841008.0742400001,5.29248,0.0
buy,11.7,1,11.7,839570.38404,0.0702,0.0
sell,11.9,-71881,888415.9399999998,850251.9006400001,5132.3034,-33032.03999999978
buy,11.8,71553,844325.4,853772.3082400002,5065.9524,0.0
buy,12.0,71,852.0,865221.3562400001,5.112,0.0
sell,12.42,-71624,845177.4,884236.0957600002,5337.420480000001,44392.68000000002
buy,12.28,71505,878081.3999999999,880397.7073600002,5268.4884,0.0
buy,12.02,73,877.4599999999999,858939.4826000002,5.26476,0.0
sell,12.18,-71578,878958.8599999999,866592.6023600003,5230.92024,-7138.819999999833
buy,12.0,71713,860556.0,892982.9863600002,5163.336,0.0
